Date,Open,High,Low,Close,Adj Close,Volume
6/7/2017,30.436434,30.512335,30.265656,30.360531,25.451525,17479641
6/8/2017,30.360531,30.455408,30.047438,30.123341,25.252687,35620773
6/9/2017,30.180265,31.119545,30.113852,31.091082,26.063951,31764609
6/12/2017,31.091082,31.394688,31.024668,31.024668,26.008284,30435515
6/13/2017,31.034157,31.100569,30.853889,30.910816,25.912836,18093913
6/14/2017,30.920303,31.081594,30.796965,31.015181,26.000328,14568177
6/15/2017,30.948767,31.337761,30.891842,31.129032,26.095768,19952115
6/16/2017,31.290323,31.432638,31.129032,31.280834,26.223024,33600044
6/19/2017,31.252373,31.54649,31.223909,31.518026,26.421862,21922146
6/20/2017,31.508539,32.020874,31.451612,31.840607,26.692289,27473775
6/21/2017,31.859583,32.35294,31.859583,32.144215,26.946808,27134492
6/22/2017,32.210625,32.71347,32.182163,32.314991,27.089968,23352529
6/23/2017,32.333965,32.466793,32.229603,32.419353,27.177462,31668800
6/26/2017,32.409866,32.457306,32.229603,32.296017,27.07406,14937604
6/27/2017,32.381405,32.381405,32.020874,32.039848,26.859314,16089942
6/28/2017,32.125237,32.248577,31.925997,32.020874,26.843409,15594035
6/29/2017,32.020874,32.134724,31.660341,31.907021,26.747961,15724837
6/30/2017,32.0019,32.06831,31.793169,31.86907,26.716154,14242175
7/3/2017,31.764706,32.229603,31.755219,32.087288,26.899084,8971964
7/5/2017,32.201138,32.210625,31.774195,31.91651,26.755919,17072270
7/6/2017,31.91651,31.944971,31.442125,31.518026,26.421862,14676318
7/7/2017,31.54649,31.650854,31.328274,31.641365,26.525261,17914522
7/10/2017,31.650854,31.812143,31.537003,31.698292,26.572983,14256720
7/11/2017,31.688805,31.755219,31.356735,31.470589,26.382099,12874083
7/12/2017,31.63188,31.812143,31.49905,31.518026,26.421862,14577979
7/13/2017,31.518026,31.63188,31.29981,31.574953,26.469589,14112006
7/14/2017,31.565466,31.83112,31.537003,31.717268,26.588896,13175843
7/17/2017,31.726755,31.755219,31.442125,31.54649,26.445726,17733866
7/18/2017,31.527514,31.679317,31.347248,31.650854,26.53322,15356148
7/19/2017,31.660341,31.963947,31.603416,31.897533,26.740011,19825951
7/20/2017,31.755219,31.973434,31.63188,31.821632,26.67638,17870043
7/21/2017,31.755219,31.859583,31.679317,31.764706,26.628662,12673718
7/24/2017,31.669828,31.736242,31.470589,31.612904,26.5014,15558937
7/25/2017,31.669828,31.764706,31.318787,31.404175,26.32642,20856025
7/26/2017,31.394688,31.404175,31.148008,31.204933,26.159389,16572674
7/27/2017,31.110058,31.309298,31.015181,31.309298,26.246887,17561221
7/28/2017,31.366224,31.470589,31.129032,31.451612,26.366192,17116117
7/31/2017,31.508539,31.679317,31.442125,31.461102,26.37414,23169660
8/1/2017,31.347248,31.593927,31.043644,31.385199,26.310514,28072552
8/2/2017,31.185959,31.233397,31.024668,31.233397,26.439018,30412116
8/3/2017,31.26186,32.077801,31.176472,31.717268,26.848616,28739945
8/4/2017,31.859583,32.258064,31.764706,31.91651,27.017271,27183398
8/7/2017,31.83112,31.86907,31.54649,31.603416,26.752237,13188280
8/8/2017,31.622391,31.745731,31.518026,31.574953,26.728144,16986475
8/9/2017,31.63188,31.745731,31.461102,31.736242,26.864674,15807681
8/10/2017,31.660341,31.83112,31.508539,31.707781,26.840584,19062539
8/11/2017,31.783682,31.850096,31.508539,31.54649,26.704046,13626639
8/14/2017,31.622391,31.660341,31.442125,31.603416,26.752237,13482241
8/15/2017,31.63188,31.812143,31.555977,31.669828,26.808453,18048801
8/16/2017,31.622391,31.774195,31.555977,31.650854,26.792398,11128764
8/17/2017,31.58444,31.736242,31.26186,31.26186,26.463106,15661175
8/18/2017,31.223909,31.280834,30.97723,30.996204,26.238232,16326565
8/21/2017,30.92979,31.185959,30.664137,31.081594,26.310514,17848752
